一 e
堆 yve
報 jpu
報 ybgu
報 ypu
報 yu
場 ydem
場 ydvm
場 yep
塊 yjn
塊 yjnv
塊 ypqu
塊 ypru
塊 yva
塔 yrao
塔 yro
塵 lby
塵 sye
塵 syev
境 yldr
境 yr
增 ybo
增 ybqd
墨 qfy
壁 coly
壁 cy
壁 pye
壓 lduy
壓 ly
壓 lya
壓 yye
壞 yba
壞 yk
壞 ylfk
夜 lpde
夜 lpu
夜 lx
夠 ccno
夠 ck
夠 nocc
夫 pqn
夫 qnn
失 snn
奇 dto
奇 vo
奇 vov
奮 dqo
奮 dvq
奴 gux
如 goo
妙 gsp
妹 gqb
妹 gys
始 guo
姑 gjo
娃 gyy
婦 gee
婦 geev
婦 gej
婦 genn
嫂 ggiu
嫂 ggu
嫂 gigu
季 hzj
孩 zh
孩 zlh
孫 zes
孫 zps
孫 zsa
守 naa
宗 nrs
宗 ns
宗 nsa
宗 nsav
官 nbo
宛 ncp
客 npo
宮 noo
宮 noov
宮 nopo
宮 nov
宵 nsu
容 nbbo
容 nwo
密 nhpe
密 xe
寒 njb
察 nja
察 njrs
寬 nrma
寬 nrmr
寶 nka
寶 nknb
寶 nkvb
寶 nkwb
射 saa
專 cua
專 jqua
專 qaa
專 xa
導 btma
導 dh
導 hwa
導 ola
導 olav
尖 sdn
尚 sno
局 cyo
局 ono
局 onov
局 ozco
局 ozoo
局 pcyo
局 pono
居 cjo
展 ck
展 crk
岡 nbe
岡 nbee
岡 nbev
岡 nbtu
岡 nxx
岸 elg
島 nei
崩 euu
嶺 eap
嶺 eapb
嶺 eapt
嶺 eat
嶺 eatb
嶺 eatt
川 si
巧 ikk
巨 ffe
巨 ffo
差 bhi
差 bkpi
差 vi
巷 hl
巷 rbfl
巷 rbol
巷 rbp
市 ct
市 lni
市 lnj
市 ni
希 xxn
幅 fq
幅 neoq
幅 neoqv
幅 nq
幹 gj
幹 jbg
幹 jdjg
幹 jg
床 gtn
床 gtnv
床 lt
床 ltn
序 lui
底 lxa
底 lxe
府 lpa
度 lru
座 lbby
座 ly
座 lyv
庭 lkw
廠 lp
廠 lsnp
廣 lka
廣 lp
廣 lreb
廣 lua
廷 kw
廷 kwn
廷 kwnv
廷 kwv
建 ewn
弄 kr
弄 krj
式 axi
引 qii
張 qek
強 qoc
強 quc
彎 issq
彎 lfq
彎 sisq
形 km
形 kmp
影 dlom
影 dlsm
影 dm
微 miep
微 mirp
微 rz
微 xr
必 hp
必 hpx
志 iyh
志 yha
忘 fha
忙 hfl
忠 cha
忽 nh
忽 nmh
怒 gh
怒 guh
思 qha
恐 ih
恐 irah
恐 izh
恩 odh
恭 rbf
恭 rbh
恭 rbhv
悄 hsu
悄 hsuv
悄 hu
悄 huv
情 hhu
情 hu
惜 hrd
惠 cha
惠 chav
惠 cuh
惠 jh
惠 jqh
惠 jquh
惱 hlxu
惱 hso
惱 hspo
惱 hspx
惱 hswu
惱 hsx
惱 hsxu
惱 hwu
慈 bav
慈 bewh
慈 bh
慈 bhv
慈 lwlh
慈 rwwh
態 dah
態 dahv
態 uh
態 uha
態 uufh
慢 hdfu
慢 hmx
慶 ldn
慶 lyhp
憐 hap
憐 hat
憐 hmc
憐 hmcs
懂 hq
懂 hrgq
應 ia
應 lha
應 lhav
應 lpvh
應 lse
戲 uaq
戲 zdaq
戲 zfeq
戲 zq
所 fki
扁 fmj
扔 jrp
批 jbl
技 jju
折 jki
披 jpx
抬 juo
招 jdo
拜 hfj
拾 jao
拿 aoh
指 jfd
按 jng
挖 jnbz
挖 jnrz
挖 jz
挖 jzv
振 jfk
捉 joz
捕 jajq
捕 jij
掉 jqj
掉 jzdj
排 jrss
排 js
掛 jpv
掛 jyy
掛 jyyp
掛 jyyv
採 etn
採 etnv
採 jet
採 jmn
採 jmnv
接 jlg
推 jve
提 jdez
提 jjn
提 jjv
提 jz
插 jgg
揚 jdem
揚 jdvm
揚 jep
換 jd
換 jnc
換 jncv
換 jnfb
換 jnnd
搖 jewu
搖 juu
搖 juwu
搞 jlho
搞 jlno
搞 jlnov
搞 jloo
搞 jqo
搶 jado
搶 jbp
搶 jo
摘 jlno
摘 jxo
摸 jdv
摸 jrdd
撞 jlq
播 jmq
撲 jfb
撲 jfed
撲 jpa
撲 jpav
撲 jvn
操 jlt
操 joot
操 xt
擠 jwh
擠 jwr
擦 jnj
擦 jnjs
擦 jwx
擺 jfu
擺 jfuf
擺 jfyu
改 flp
敗 mbp
敞 snop
敞 sx
敞 sxv
敢 irp
敢 trp
散 rup
散 rx
散 rxv
敬 nx
敬 rnop
敲 lhnu
敲 lhnuv
敲 lnou
敲 lnouv
敲 lonu
敲 lonuv
敲 qju
敲 qzu
整 jcsz
整 vspz
整 z
數 mgp
料 mdj
斬 cki
斯 kbk
於 fbb
於 ubb
於 uj
於 ujv
施 fva
旅 fvk
族 av
族 fd
族 fvvd
既 dl
既 duk
既 pdfk
旨 fdo
旱 dgj
易 dnm
易 ep
昨 dvf
晨 dfk
景 dlos
景 dls
景 ds
晴 dhu
晶 ddd
